Muscle - Skeletal,Cells - EBV-transformed lymphocytes
Pituitary,Muscle - Skeletal
Heart - Left Ventricle,Small Intestine - Terminal Ileum
Brain - Nucleus accumbens (basal ganglia),Breast - Mammary Tissue
Pancreas,Esophagus - Mucosa
Skin - Not Sun Exposed (Suprapubic),Cells - EBV-transformed lymphocytes
Small Intestine - Terminal Ileum,Colon - Transverse
Brain - Anterior cingulate cortex (BA24),Artery - Coronary
Brain - Frontal Cortex (BA9),Brain - Anterior cingulate cortex (BA24)
Stomach,Esophagus - Muscularis
Adrenal Gland,Liver
Brain - Nucleus accumbens (basal ganglia),Adipose - Visceral (Omentum)
Stomach,Skin - Not Sun Exposed (Suprapubic)
Skin - Not Sun Exposed (Suprapubic),Ovary
Thyroid,Brain - Nucleus accumbens (basal ganglia)
Uterus,Whole Blood
Pancreas,Adipose - Subcutaneous
Thyroid,Small Intestine - Terminal Ileum
Heart - Atrial Appendage,Uterus
Artery - Coronary,Pancreas
Whole Blood,Artery - Coronary
Adipose - Subcutaneous,Pituitary
Brain - Cortex,Brain - Substantia nigra
Colon - Sigmoid,Esophagus - Mucosa
Muscle - Skeletal,Brain - Anterior cingulate cortex (BA24)
Lung,Small Intestine - Terminal Ileum
Muscle - Skeletal,Whole Blood
Pituitary,Colon - Transverse
Pituitary,Lung
Brain - Hippocampus,Brain - Putamen (basal ganglia)
Brain - Cerebellum,Uterus
Nerve - Tibial,Lung
Whole Blood,Testis
Brain - Frontal Cortex (BA9),Heart - Left Ventricle
Brain - Cerebellum,Lung
Brain - Frontal Cortex (BA9),Brain - Cortex
Muscle - Skeletal,Prostate
Brain - Anterior cingulate cortex (BA24),Whole Blood
Colon - Sigmoid,Brain - Substantia nigra
Thyroid,Brain - Spinal cord (cervical c-1)
Lung,Cells - EBV-transformed lymphocytes
Brain - Cerebellum,Brain - Frontal Cortex (BA9)
Brain - Caudate (basal ganglia),Artery - Tibial
Stomach,Spleen
Heart - Atrial Appendage,Cells - Transformed fibroblasts
Liver,Esophagus - Gastroesophageal Junction
Artery - Tibial,Esophagus - Muscularis
Artery - Coronary,Spleen
Colon - Transverse,Prostate
Adipose - Visceral (Omentum),Artery - Aorta
Esophagus - Gastroesophageal Junction,Artery - Tibial
Adipose - Subcutaneous,Esophagus - Gastroesophageal Junction
Brain - Anterior cingulate cortex (BA24),Pituitary
Artery - Aorta,Adipose - Visceral (Omentum)
Minor Salivary Gland,Whole Blood
Whole Blood,Kidney - Cortex
Stomach,Heart - Atrial Appendage
Colon - Transverse,Minor Salivary Gland
Vagina,Artery - Coronary
Brain - Amygdala,Colon - Sigmoid
Colon - Transverse,Lung
Liver,Heart - Atrial Appendage
Heart - Atrial Appendage,Brain - Substantia nigra
Artery - Coronary,Adipose - Visceral (Omentum)
Brain - Cortex,Heart - Left Ventricle
Whole Blood,Artery - Aorta
Brain - Spinal cord (cervical c-1),Breast - Mammary Tissue
Liver,Whole Blood
Brain - Putamen (basal ganglia),Skin - Sun Exposed (Lower leg)
Stomach,Esophagus - Gastroesophageal Junction
Artery - Aorta,Pituitary
Brain - Frontal Cortex (BA9),Brain - Hypothalamus
Ovary,Heart - Left Ventricle
Prostate,Artery - Aorta
Colon - Sigmoid,Nerve - Tibial
Brain - Cerebellar Hemisphere,Lung
Lung,Brain - Spinal cord (cervical c-1)
Brain - Cerebellum,Breast - Mammary Tissue
Brain - Nucleus accumbens (basal ganglia),Brain - Cerebellum
Cells - Transformed fibroblasts,Uterus
Stomach,Artery - Coronary
Esophagus - Muscularis,Whole Blood
Brain - Cerebellar Hemisphere,Prostate
Liver,Pancreas
Adipose - Subcutaneous,Small Intestine - Terminal Ileum
